OrderId,Spot_id,Arrival_time,Delivery_time,Longitude,Latitude,distance
E3485,B8000,641,881,121.524582,31.282108,359.3974699
E3483,B7443,764,1004,121.52829,31.281612,441.8395995
E3482,B7443,724,964,121.52829,31.281612,441.8395995
E3484,B7443,864,1104,121.52829,31.281612,441.8395995
E3481,B7306,907,1147,121.525658,31.280022,564.848139
E3258,B0173,572,812,121.531883,31.283594,579.8956125
E3015,B6527,914,1154,121.533669,31.288586,823.5369537
E3576,B6527,928,1168,121.533669,31.288586,823.5369537
E3115,B2204,624,864,121.5205,31.291294,869.2939021
E3118,B2204,553,793,121.5205,31.291294,869.2939021
E3224,B4299,586,826,121.522186,31.277462,924.558213
E3240,B1195,926,1166,121.517952,31.280062,951.3972686
E3120,B1195,954,1194,121.517952,31.280062,951.3972686
E3028,B4038,781,1021,121.515411,31.288195,1068.993807
E3090,B4038,910,1150,121.515411,31.288195,1068.993807
E3165,B5284,561,801,121.517807,31.292402,1130.112558
E3259,B5284,721,961,121.517807,31.292402,1130.112558
E3095,B5284,890,1130,121.517807,31.292402,1130.112558
E3223,B1899,897,1137,121.512764,31.281061,1340.346106
E3212,B1899,597,837,121.512764,31.281061,1340.346106
E3597,B6228,569,809,121.535522,31.294075,1347.069361
E3596,B4899,918,1158,121.540237,31.284382,1352.63004
E3057,B3037,903,1143,121.520767,31.296795,1396.770214
E3156,B3037,708,948,121.520767,31.296795,1396.770214
E3157,B3037,927,1167,121.520767,31.296795,1396.770214
E3034,B6776,925,1165,121.517487,31.295534,1419.595957
E3024,B0236,947,1187,121.514427,31.293182,1425.946497
E3213,B0236,654,894,121.514427,31.293182,1425.946497
E3593,B2014,678,918,121.541496,31.281773,1515.692784
E3086,B2448,597,837,121.51152,31.291658,1563.309616
E3193,B8410,801,1041,121.513344,31.294737,1616.660671
E3119,B1179,593,833,121.513664,31.274984,1628.310659
E2941,B1179,555,795,121.513664,31.274984,1628.310659
E3599,B7781,853,1093,121.543106,31.287016,1637.440203
E3598,B7781,610,850,121.543106,31.287016,1637.440203
E3466,B2085,544,784,121.531143,31.270935,1648.270474
E3180,B6319,868,1108,121.522896,31.27025,1678.390323
E3471,B6319,903,1143,121.522896,31.27025,1678.390323
E3306,B2352,755,995,121.533424,31.298935,1694.09143
E3578,B8481,920,1160,121.535652,31.298,1703.644277
E2940,B5518,558,798,121.530159,31.300243,1732.169663
E0402,B0148,885,1125,121.544319,31.283875,1743.913864
E0401,B0148,558,798,121.544319,31.283875,1743.913864
E0815,B0148,910,1150,121.544319,31.283875,1743.913864
E3590,B0148,906,1146,121.544319,31.283875,1743.913864
E3207,B0899,949,1189,121.50721,31.28616,1795.578919
E3068,B6490,613,853,121.510109,31.29397,1809.869723
E3228,B6490,776,1016,121.510109,31.29397,1809.869723
E3181,B6490,559,799,121.510109,31.29397,1809.869723
E3182,B6490,908,1148,121.510109,31.29397,1809.869723
E3154,B2637,861,1101,121.515419,31.298655,1817.428979
E3214,B2637,556,796,121.515419,31.298655,1817.428979
E3217,B3852,941,1181,121.507774,31.2904,1835.834543
E2535,B3852,576,816,121.507774,31.2904,1835.834543
E3216,B3852,635,875,121.507774,31.2904,1835.834543
E2954,B3852,921,1161,121.507774,31.2904,1835.834543
E3116,B3852,935,1175,121.507774,31.2904,1835.834543
E3163,B3852,933,1173,121.507774,31.2904,1835.834543
E3226,B3852,814,1054,121.507774,31.2904,1835.834543
E3203,B5980,717,957,121.510078,31.274807,1901.593565
E3626,B2355,688,928,121.546371,31.287663,1955.045665
E2955,B4356,540,780,121.504906,31.288074,2038.090528
E3202,B4356,577,817,121.504906,31.288074,2038.090528
E3092,B4356,907,1147,121.504906,31.288074,2038.090528
E2956,B4356,544,784,121.504906,31.288074,2038.090528
E3091,B4356,694,934,121.504906,31.288074,2038.090528
E3164,B4356,866,1106,121.504906,31.288074,2038.090528
E2933,B4356,812,1052,121.504906,31.288074,2038.090528
E3037,B7353,553,793,121.513153,31.300184,2080.468011
E3443,B7353,572,812,121.513153,31.300184,2080.468011
E3628,B3722,681,921,121.545311,31.294363,2103.900616
E3614,B3722,620,860,121.545311,31.294363,2103.900616
E3035,B6825,676,916,121.515984,31.30197,2109.102955
E3144,B2276,601,841,121.508797,31.297123,2118.239543
E3023,B2276,601,841,121.508797,31.297123,2118.239543
